frame,pgsnh,gpsnl,gpseh,gpsel,heading_angle,yaw_rate,gps_state,gps_velocity,acceleration_forward,acceleration_lateral,acceleration_down,pitch_angle,velocity_down,velocity_lateral,velocity_forward,roll_angle,timestamp
103,36.000000,0.177711,120.000000,0.487752,179.660000,0.740000,4.000000,1.320000,3.075000,3.637000,-9.558000,-0.520000,-3.390000,0.010000,1.330000,0.980000,1621685595664133005
104,36.000000,0.177711,120.000000,0.487752,179.720000,0.800000,4.000000,1.320000,3.079000,3.641000,-9.555000,-0.540000,-3.380000,0.010000,1.350000,1.010000,1621685595684135327
105,36.000000,0.177711,120.000000,0.487752,179.750000,0.800000,4.000000,1.320000,2.224000,-1.957000,-14.350000,-0.570000,-3.420000,0.010000,1.360000,1.060000,1621685595704102163
106,36.000000,0.177710,120.000000,0.487752,179.890000,0.910000,4.000000,1.360000,1.814000,-5.142000,-8.522000,-0.640000,-3.320000,0.010000,1.370000,1.190000,1621685595724102630
107,36.000000,0.177710,120.000000,0.487752,180.010000,0.980000,4.000000,1.360000,-2.875000,-17.804000,-2.761000,-0.620000,-3.140000,0.010000,1.330000,1.280000,1621685595744197044
108,36.000000,0.177710,120.000000,0.487752,180.110000,1.340000,4.000000,1.400000,-7.096000,-3.403000,-2.296000,-0.610000,-3.070000,0.010000,1.290000,1.330000,1621685595764207398
109,36.000000,0.177709,120.000000,0.487752,180.260000,1.100000,4.000000,1.400000,-1.757000,0.942000,-4.705000,-0.590000,-2.910000,0.010000,1.310000,1.360000,1621685595784220920
110,36.000000,0.177709,120.000000,0.487752,180.310000,1.350000,4.000000,1.410000,-2.166000,-6.938000,-8.202000,-0.570000,-2.900000,0.010000,1.310000,1.400000,1621685595804203084
111,36.000000,0.177709,120.000000,0.487752,180.340000,1.430000,4.000000,1.410000,-5.136000,-10.713000,-4.308000,-0.540000,-2.800000,0.000000,1.240000,1.450000,1621685595824255612
112,36.000000,0.177709,120.000000,0.487752,180.360000,1.420000,4.000000,1.410000,-1.491000,-3.751000,-4.631000,-0.550000,-2.690000,0.000000,1.150000,1.480000,1621685595844292013
113,36.000000,0.177708,120.000000,0.487752,180.390000,1.440000,4.000000,1.370000,-8.069000,1.985000,-11.516000,-0.600000,-2.750000,0.000000,1.070000,1.500000,1621685595864674096
114,36.000000,0.177708,120.000000,0.487752,180.400000,0.990000,4.000000,1.370000,-11.815000,0.142000,-11.695000,-0.640000,-2.730000,0.000000,1.070000,1.540000,1621685595884161847
115,36.000000,0.177708,120.000000,0.487752,180.410000,1.170000,4.000000,1.380000,8.140000,-3.278000,-5.776000,-0.680000,-2.690000,0.000000,1.230000,1.570000,1621685595904110860
116,36.000000,0.177708,120.000000,0.487752,180.420000,1.260000,4.000000,1.380000,-3.354000,7.337000,-19.798000,-0.720000,-2.870000,0.000000,1.220000,1.590000,1621685595924246361
117,36.000000,0.177707,120.000000,0.487752,180.460000,0.900000,4.000000,1.370000,16.784000,3.247000,-9.734000,-0.760000,-2.900000,0.000000,1.510000,1.620000,1621685595944217133
118,36.000000,0.177707,120.000000,0.487752,180.420000,1.140000,4.000000,1.370000,8.510000,-1.850000,-3.750000,-0.790000,-2.910000,-0.010000,1.500000,1.670000,1621685595964164737
119,36.000000,0.177707,120.000000,0.487752,180.320000,0.900000,4.000000,1.370000,0.346000,-6.518000,6.973000,-0.840000,-2.860000,-0.010000,1.410000,1.700000,1621685595984910293
120,36.000000,0.177707,120.000000,0.487752,180.280000,1.250000,4.000000,1.370000,-0.251000,-7.273000,-4.998000,-0.860000,-2.670000,-0.010000,1.390000,1.700000,1621685596004140999
121,36.000000,0.177706,120.000000,0.487752,180.190000,1.190000,4.000000,1.350000,2.783000,1.382000,-12.116000,-0.920000,-2.610000,-0.010000,1.440000,1.730000,1621685596024384045
122,36.000000,0.177706,120.000000,0.487752,180.160000,1.140000,4.000000,1.350000,-3.408000,4.073000,-20.000000,-0.930000,-2.770000,-0.010000,1.390000,1.730000,1621685596044118471
123,36.000000,0.177706,120.000000,0.487752,180.130000,0.870000,4.000000,1.380000,8.475000,8.387000,-13.065000,-0.920000,-2.820000,-0.010000,1.450000,1.730000,1621685596064123863
124,36.000000,0.177706,120.000000,0.487752,180.110000,0.700000,4.000000,1.380000,1.773000,-3.096000,-3.771000,-0.880000,-2.900000,-0.010000,1.460000,1.770000,1621685596084301312
125,36.000000,0.177705,120.000000,0.487752,180.110000,0.740000,4.000000,1.400000,-3.521000,-3.426000,2.808000,-0.840000,-2.860000,-0.010000,1.440000,1.820000,1621685596107798241
126,36.000000,0.177705,120.000000,0.487752,180.120000,0.620000,4.000000,1.400000,-1.545000,-0.490000,-15.370000,-0.830000,-2.810000,-0.010000,1.390000,1.850000,1621685596123802932
127,36.000000,0.177705,120.000000,0.487752,180.130000,0.830000,4.000000,1.430000,-0.274000,1.932000,-15.987000,-0.800000,-2.800000,-0.010000,1.470000,1.910000,1621685596158702371
128,36.000000,0.177705,120.000000,0.487752,180.110000,0.710000,4.000000,1.430000,1.735000,7.805000,-11.622000,-0.800000,-2.900000,-0.010000,1.470000,1.930000,1621685596164793643
129,36.000000,0.177704,120.000000,0.487752,180.060000,0.830000,4.000000,1.430000,4.258000,6.856000,-15.349000,-0.790000,-2.960000,-0.010000,1.490000,1.960000,1621685596184770460
130,36.000000,0.177704,120.000000,0.487752,180.030000,0.600000,4.000000,1.430000,-6.547000,-1.102000,-1.889000,-0.780000,-2.970000,-0.010000,1.440000,1.990000,1621685596204721869
131,36.000000,0.177704,120.000000,0.487752,180.050000,0.790000,4.000000,1.530000,3.073000,-1.295000,-11.991000,-0.790000,-2.960000,-0.010000,1.480000,2.060000,1621685596224716445
132,36.000000,0.177704,120.000000,0.487752,180.100000,0.670000,4.000000,1.530000,-0.938000,-2.641000,-11.228000,-0.810000,-3.020000,-0.010000,1.480000,2.110000,1621685596244695630
133,36.000000,0.177703,120.000000,0.487752,180.130000,0.790000,4.000000,1.550000,0.730000,2.082000,-3.950000,-0.780000,-2.970000,-0.010000,1.510000,2.170000,1621685596264832280
134,36.000000,0.177703,120.000000,0.487752,180.190000,1.180000,4.000000,1.550000,3.075000,3.620000,-5.623000,-0.750000,-3.000000,-0.010000,1.560000,2.240000,1621685596284857927
